starttime	seconds	ctime	dtime	ttime	wait
Sun Nov 29 09:42:16 2015	1448786536	57	74	131	74
Sun Nov 29 09:42:34 2015	1448786554	61	71	132	70
Sun Nov 29 09:42:26 2015	1448786546	60	72	133	72
Sun Nov 29 09:42:13 2015	1448786533	58	75	133	75
Sun Nov 29 09:42:27 2015	1448786547	61	73	134	73
Sun Nov 29 09:42:38 2015	1448786558	60	74	134	74
Sun Nov 29 09:42:13 2015	1448786533	60	74	134	74
Sun Nov 29 09:42:26 2015	1448786546	61	73	134	73
Sun Nov 29 09:42:16 2015	1448786536	63	72	135	72
Sun Nov 29 09:42:21 2015	1448786541	57	78	135	78
Sun Nov 29 09:42:15 2015	1448786535	59	76	135	76
Sun Nov 29 09:42:14 2015	1448786534	58	78	135	77
Sun Nov 29 09:42:25 2015	1448786545	62	73	135	73
Sun Nov 29 09:42:16 2015	1448786536	63	72	135	72
Sun Nov 29 09:42:40 2015	1448786560	58	77	135	77
Sun Nov 29 09:42:15 2015	1448786535	61	74	135	74
Sun Nov 29 09:42:26 2015	1448786546	61	74	135	74
Sun Nov 29 09:42:30 2015	1448786550	63	72	135	72
Sun Nov 29 09:42:49 2015	1448786569	61	74	136	74
Sun Nov 29 09:42:31 2015	1448786551	59	76	136	76
Sun Nov 29 09:42:30 2015	1448786550	61	75	136	75
Sun Nov 29 09:42:31 2015	1448786551	58	78	136	78
Sun Nov 29 09:42:20 2015	1448786540	64	72	136	72
Sun Nov 29 09:42:13 2015	1448786533	61	75	136	75
Sun Nov 29 09:42:36 2015	1448786556	61	75	136	75
Sun Nov 29 09:42:37 2015	1448786557	63	74	136	74
Sun Nov 29 09:42:51 2015	1448786571	61	75	136	75
Sun Nov 29 09:42:15 2015	1448786535	57	79	137	79
Sun Nov 29 09:42:49 2015	1448786569	63	74	137	74
Sun Nov 29 09:42:30 2015	1448786550	62	75	137	75
Sun Nov 29 09:42:12 2015	1448786532	58	79	137	79
Sun Nov 29 09:42:37 2015	1448786557	59	78	137	77
Sun Nov 29 09:42:40 2015	1448786560	63	74	137	74
Sun Nov 29 09:42:26 2015	1448786546	66	71	137	71
Sun Nov 29 09:42:35 2015	1448786555	57	80	137	80
Sun Nov 29 09:42:41 2015	1448786561	64	73	137	73
Sun Nov 29 09:42:30 2015	1448786550	61	76	137	76
Sun Nov 29 09:42:20 2015	1448786540	62	75	137	73
Sun Nov 29 09:42:26 2015	1448786546	62	76	138	76
Sun Nov 29 09:42:27 2015	1448786547	62	76	138	75
Sun Nov 29 09:42:16 2015	1448786536	59	78	138	78
Sun Nov 29 09:42:35 2015	1448786555	58	80	138	80
Sun Nov 29 09:42:26 2015	1448786546	62	76	138	76
Sun Nov 29 09:42:27 2015	1448786547	62	76	138	76
Sun Nov 29 09:42:39 2015	1448786559	61	77	139	77
Sun Nov 29 09:42:12 2015	1448786532	63	75	139	75
Sun Nov 29 09:43:02 2015	1448786582	59	80	139	80
Sun Nov 29 09:42:30 2015	1448786550	59	80	139	80
Sun Nov 29 09:42:26 2015	1448786546	60	79	139	78
Sun Nov 29 09:42:40 2015	1448786560	59	80	139	80
Sun Nov 29 09:42:24 2015	1448786544	60	79	139	79
Sun Nov 29 09:42:38 2015	1448786558	62	78	139	77
Sun Nov 29 09:42:38 2015	1448786558	59	81	139	81
Sun Nov 29 09:42:41 2015	1448786561	61	78	139	78
Sun Nov 29 09:42:31 2015	1448786551	63	76	139	76
Sun Nov 29 09:42:28 2015	1448786548	60	79	139	79
Sun Nov 29 09:42:39 2015	1448786559	62	77	140	77
Sun Nov 29 09:42:13 2015	1448786533	61	79	140	79
Sun Nov 29 09:42:14 2015	1448786534	58	82	140	82
Sun Nov 29 09:42:20 2015	1448786540	57	83	140	82
Sun Nov 29 09:42:43 2015	1448786563	64	76	140	74
Sun Nov 29 09:42:40 2015	1448786560	60	80	140	80
Sun Nov 29 09:42:35 2015	1448786555	61	79	140	79
Sun Nov 29 09:42:49 2015	1448786569	57	83	140	83
Sun Nov 29 09:42:16 2015	1448786536	64	76	140	76
Sun Nov 29 09:42:40 2015	1448786560	64	76	140	76
Sun Nov 29 09:42:43 2015	1448786563	67	74	140	74
Sun Nov 29 09:42:19 2015	1448786539	60	80	140	79
Sun Nov 29 09:42:13 2015	1448786533	61	79	140	79
Sun Nov 29 09:42:16 2015	1448786536	61	79	140	78
Sun Nov 29 09:42:40 2015	1448786560	59	82	140	82
Sun Nov 29 09:42:44 2015	1448786564	62	78	140	78
Sun Nov 29 09:42:14 2015	1448786534	60	80	140	80
Sun Nov 29 09:43:01 2015	1448786581	63	77	140	77
Sun Nov 29 09:42:30 2015	1448786550	63	78	140	78
Sun Nov 29 09:42:30 2015	1448786550	60	81	140	81
Sun Nov 29 09:42:21 2015	1448786541	61	80	140	79
Sun Nov 29 09:42:31 2015	1448786551	57	83	141	80
Sun Nov 29 09:42:13 2015	1448786533	65	76	141	76
Sun Nov 29 09:42:14 2015	1448786534	61	80	141	80
Sun Nov 29 09:42:35 2015	1448786555	59	81	141	81
Sun Nov 29 09:42:59 2015	1448786579	65	76	141	75
Sun Nov 29 09:42:37 2015	1448786557	60	80	141	80
Sun Nov 29 09:42:22 2015	1448786542	63	78	141	78
Sun Nov 29 09:42:39 2015	1448786559	61	80	141	80
Sun Nov 29 09:42:49 2015	1448786569	57	83	141	83
Sun Nov 29 09:42:24 2015	1448786544	62	79	141	79
Sun Nov 29 09:42:22 2015	1448786542	63	78	141	78
Sun Nov 29 09:42:36 2015	1448786556	60	81	141	81
Sun Nov 29 09:42:38 2015	1448786558	61	80	141	80
Sun Nov 29 09:42:49 2015	1448786569	61	80	141	80
Sun Nov 29 09:42:28 2015	1448786548	64	77	141	77
Sun Nov 29 09:42:12 2015	1448786532	63	78	141	78
Sun Nov 29 09:42:50 2015	1448786570	59	82	141	82
Sun Nov 29 09:42:15 2015	1448786535	57	84	141	84
Sun Nov 29 09:42:17 2015	1448786537	59	82	141	81
Sun Nov 29 09:42:30 2015	1448786550	67	74	141	74
Sun Nov 29 09:42:40 2015	1448786560	60	82	141	80
Sun Nov 29 09:42:40 2015	1448786560	59	83	141	82
Sun Nov 29 09:42:39 2015	1448786559	63	78	141	78
Sun Nov 29 09:42:21 2015	1448786541	61	81	141	80
Sun Nov 29 09:42:34 2015	1448786554	58	84	141	84
Sun Nov 29 09:42:40 2015	1448786560	60	81	141	80
Sun Nov 29 09:42:28 2015	1448786548	62	80	142	80
Sun Nov 29 09:42:32 2015	1448786552	62	80	142	79
Sun Nov 29 09:42:16 2015	1448786536	62	80	142	80
Sun Nov 29 09:42:26 2015	1448786546	66	75	142	75
Sun Nov 29 09:42:39 2015	1448786559	59	83	142	83
Sun Nov 29 09:42:16 2015	1448786536	61	81	142	81
Sun Nov 29 09:42:16 2015	1448786536	61	81	142	80
Sun Nov 29 09:42:34 2015	1448786554	61	81	142	81
Sun Nov 29 09:42:15 2015	1448786535	65	77	142	77
Sun Nov 29 09:42:31 2015	1448786551	62	80	142	80
Sun Nov 29 09:42:30 2015	1448786550	61	81	142	81
Sun Nov 29 09:42:47 2015	1448786567	62	80	142	80
Sun Nov 29 09:42:30 2015	1448786550	63	79	142	79
Sun Nov 29 09:42:39 2015	1448786559	63	79	142	79
Sun Nov 29 09:42:28 2015	1448786548	63	79	142	79
Sun Nov 29 09:42:28 2015	1448786548	60	82	142	82
Sun Nov 29 09:42:16 2015	1448786536	63	80	142	79
Sun Nov 29 09:42:38 2015	1448786558	60	82	142	82
Sun Nov 29 09:42:24 2015	1448786544	57	85	142	85
Sun Nov 29 09:42:40 2015	1448786560	61	81	142	81
Sun Nov 29 09:42:51 2015	1448786571	65	77	142	77
Sun Nov 29 09:42:15 2015	1448786535	63	79	142	79
Sun Nov 29 09:42:31 2015	1448786551	60	83	142	83
Sun Nov 29 09:42:17 2015	1448786537	63	80	142	80
Sun Nov 29 09:42:41 2015	1448786561	63	79	142	79
Sun Nov 29 09:42:31 2015	1448786551	63	79	142	79
Sun Nov 29 09:42:27 2015	1448786547	62	80	142	80
Sun Nov 29 09:42:16 2015	1448786536	59	84	142	84
Sun Nov 29 09:42:17 2015	1448786537	62	81	142	80
Sun Nov 29 09:42:13 2015	1448786533	61	82	142	82
Sun Nov 29 09:42:34 2015	1448786554	63	80	142	80
Sun Nov 29 09:42:31 2015	1448786551	61	82	142	76
Sun Nov 29 09:42:31 2015	1448786551	63	80	143	80
Sun Nov 29 09:42:32 2015	1448786552	58	85	143	85
Sun Nov 29 09:42:32 2015	1448786552	61	81	143	81
Sun Nov 29 09:42:34 2015	1448786554	60	83	143	83
Sun Nov 29 09:42:31 2015	1448786551	63	79	143	79
Sun Nov 29 09:42:38 2015	1448786558	59	83	143	83
Sun Nov 29 09:42:30 2015	1448786550	62	81	143	81
Sun Nov 29 09:42:15 2015	1448786535	68	75	143	75
Sun Nov 29 09:42:14 2015	1448786534	65	78	143	78
Sun Nov 29 09:42:21 2015	1448786541	62	80	143	80
Sun Nov 29 09:42:39 2015	1448786559	62	81	143	81
Sun Nov 29 09:42:18 2015	1448786538	64	79	143	79
Sun Nov 29 09:42:32 2015	1448786552	62	80	143	80
Sun Nov 29 09:42:27 2015	1448786547	61	81	143	81
Sun Nov 29 09:42:59 2015	1448786579	61	82	143	82
Sun Nov 29 09:42:29 2015	1448786549	61	82	143	82
Sun Nov 29 09:42:32 2015	1448786552	62	81	143	81
Sun Nov 29 09:42:39 2015	1448786559	63	80	143	80
Sun Nov 29 09:42:47 2015	1448786567	63	80	143	79
Sun Nov 29 09:42:36 2015	1448786556	63	80	143	80
Sun Nov 29 09:43:01 2015	1448786581	61	82	143	82
Sun Nov 29 09:42:16 2015	1448786536	61	82	143	82
Sun Nov 29 09:42:31 2015	1448786551	63	80	143	80
Sun Nov 29 09:42:40 2015	1448786560	63	81	143	80
Sun Nov 29 09:42:20 2015	1448786540	63	80	143	80
