starttime	seconds	ctime	dtime	ttime	wait
Sun Nov 29 09:33:09 2015	1448785989	54	68	121	68
Sun Nov 29 09:33:02 2015	1448785982	53	69	122	69
Sun Nov 29 09:33:09 2015	1448785989	57	65	122	0
Sun Nov 29 09:33:11 2015	1448785991	59	65	123	0
Sun Nov 29 09:33:19 2015	1448785999	57	68	125	68
Sun Nov 29 09:34:35 2015	1448786075	53	73	126	73
Sun Nov 29 09:33:09 2015	1448785989	53	74	127	74
Sun Nov 29 09:33:05 2015	1448785985	59	68	127	68
Sun Nov 29 09:33:24 2015	1448786004	57	71	127	70
Sun Nov 29 09:34:02 2015	1448786042	55	72	127	72
Sun Nov 29 09:33:19 2015	1448785999	56	72	127	72
Sun Nov 29 09:33:27 2015	1448786007	54	74	127	74
Sun Nov 29 09:33:27 2015	1448786007	54	74	128	74
Sun Nov 29 09:33:19 2015	1448785999	54	74	128	74
Sun Nov 29 09:33:02 2015	1448785982	59	70	128	70
Sun Nov 29 09:33:04 2015	1448785984	58	71	128	71
Sun Nov 29 09:33:09 2015	1448785989	54	75	129	75
Sun Nov 29 09:34:23 2015	1448786063	59	70	129	69
Sun Nov 29 09:33:19 2015	1448785999	59	70	129	70
Sun Nov 29 09:34:14 2015	1448786054	57	72	129	72
Sun Nov 29 09:33:04 2015	1448785984	57	72	129	72
Sun Nov 29 09:33:19 2015	1448785999	58	71	129	71
Sun Nov 29 09:33:19 2015	1448785999	58	72	129	71
Sun Nov 29 09:35:35 2015	1448786135	57	72	129	72
Sun Nov 29 09:34:13 2015	1448786053	58	71	129	71
Sun Nov 29 09:33:09 2015	1448785989	54	76	129	76
Sun Nov 29 09:33:02 2015	1448785982	63	67	130	0
Sun Nov 29 09:33:22 2015	1448786002	57	73	130	73
Sun Nov 29 09:33:59 2015	1448786039	58	72	130	72
Sun Nov 29 09:33:17 2015	1448785997	58	71	130	71
Sun Nov 29 09:33:20 2015	1448786000	56	73	130	73
Sun Nov 29 09:35:26 2015	1448786126	57	73	130	73
Sun Nov 29 09:34:59 2015	1448786099	57	73	130	73
Sun Nov 29 09:34:13 2015	1448786053	58	72	130	72
Sun Nov 29 09:36:05 2015	1448786165	53	77	130	77
Sun Nov 29 09:33:29 2015	1448786009	58	72	130	72
Sun Nov 29 09:33:04 2015	1448785984	58	72	130	72
Sun Nov 29 09:35:10 2015	1448786110	58	72	130	72
Sun Nov 29 09:33:15 2015	1448785995	57	74	130	74
Sun Nov 29 09:36:23 2015	1448786183	58	73	130	73
Sun Nov 29 09:33:07 2015	1448785987	59	72	130	72
Sun Nov 29 09:34:56 2015	1448786096	58	73	130	71
Sun Nov 29 09:35:52 2015	1448786152	58	72	130	72
Sun Nov 29 09:34:13 2015	1448786053	60	70	130	70
Sun Nov 29 09:33:24 2015	1448786004	59	72	130	71
Sun Nov 29 09:33:18 2015	1448785998	60	70	130	70
Sun Nov 29 09:34:11 2015	1448786051	58	73	130	73
Sun Nov 29 09:34:13 2015	1448786053	57	73	130	73
Sun Nov 29 09:34:12 2015	1448786052	59	72	130	72
Sun Nov 29 09:33:35 2015	1448786015	57	74	131	74
Sun Nov 29 09:33:09 2015	1448785989	59	72	131	72
Sun Nov 29 09:34:13 2015	1448786053	59	71	131	71
Sun Nov 29 09:33:10 2015	1448785990	59	72	131	72
Sun Nov 29 09:33:30 2015	1448786010	58	73	131	73
Sun Nov 29 09:33:16 2015	1448785996	57	73	131	73
Sun Nov 29 09:35:39 2015	1448786139	57	74	131	74
Sun Nov 29 09:34:00 2015	1448786040	58	73	131	73
Sun Nov 29 09:33:19 2015	1448785999	58	73	131	73
Sun Nov 29 09:36:57 2015	1448786217	58	73	131	73
Sun Nov 29 09:34:25 2015	1448786065	58	72	131	72
Sun Nov 29 09:34:11 2015	1448786051	58	73	131	73
Sun Nov 29 09:33:26 2015	1448786006	58	73	131	73
Sun Nov 29 09:35:08 2015	1448786108	57	75	131	75
Sun Nov 29 09:33:25 2015	1448786005	57	74	131	74
Sun Nov 29 09:34:13 2015	1448786053	58	73	131	73
Sun Nov 29 09:33:18 2015	1448785998	61	70	131	70
Sun Nov 29 09:33:06 2015	1448785986	57	74	131	74
Sun Nov 29 09:33:14 2015	1448785994	54	77	131	77
Sun Nov 29 09:33:16 2015	1448785996	57	74	131	74
Sun Nov 29 09:33:16 2015	1448785996	58	73	131	73
Sun Nov 29 09:37:31 2015	1448786251	60	72	131	71
Sun Nov 29 09:33:14 2015	1448785994	58	74	131	74
Sun Nov 29 09:35:34 2015	1448786134	59	73	131	73
Sun Nov 29 09:33:08 2015	1448785988	58	73	131	73
Sun Nov 29 09:33:25 2015	1448786005	58	73	131	73
Sun Nov 29 09:34:25 2015	1448786065	60	72	131	71
